"","x"
"name","Title of dataset"
"essround","ESS round"
"edition","Edition"
"proddate","Production date"
"idno","Respondent's identification number"
"cntry","Country"
"nwspol","News about politics and current affairs, watching, reading or listening, in minutes"
"netusoft","Internet use, how often"
"netustm","Internet use, how much time on typical day, in minutes"
"ppltrst","Most people can be trusted or you can't be too careful"
"pplfair","Most people try to take advantage of you, or try to be fair"
"pplhlp","Most of the time people helpful or mostly looking out for themselves"
"polintr","How interested in politics"
"psppsgva","Political system allows people to have a say in what government does"
"actrolga","Able to take active role in political group"
"psppipla","Political system allows people to have influence on politics"
"cptppola","Confident in own ability to participate in politics"
"trstprl","Trust in country's parliament"
"trstlgl","Trust in the legal system"
"trstplc","Trust in the police"
"trstplt","Trust in politicians"
"trstprt","Trust in political parties"
"trstep","Trust in the European Parliament"
"trstun","Trust in the United Nations"
"vote","Voted last national election"
"prtvtbat","Party voted for in last national election, Austria"
"prtvtcbe","Party voted for in last national election, Belgium"
"prtvtfch","Party voted for in last national election, Switzerland"
"prtvtdcz","Party voted for in last national election, Czechia"
"prtvede1","Party voted for in last national election 1, Germany"
"prtvede2","Party voted for in last national election 2, Germany"
"prtvtfee","Party voted for in last national election, Estonia"
"prtvtdes","Party voted for in last national election, Spain"
"prtvtdfi","Party voted for in last national election, Finland"
"prtvtcfr","Party voted for in last national election, France (ballot 1)"
"prtvtbgb","Party voted for in last national election, United Kingdom"
"prtvtehu","Party voted for in last national election, Hungary"
"prtvtbie","Party voted for in last national election, Ireland"
"prtvtcil","Party voted for in last national election, Israel"
"prtvtbis","Party voted for in last national election, Iceland"
"prtvtbit","Party voted for in last national election, Italy"
"prtvblt1","Party voted for in last national election 1, Lithuania (first vote, party)"
"prtvblt2","Party voted for in last national election 2, Lithuania (second vote, party)"
"prtvblt3","Party voted for in last national election 3, Lithuania (third vote, party)"
"prtvtfnl","Party voted for in last national election, Netherlands"
"prtvtbno","Party voted for in last national election, Norway"
"prtvtdpl","Party voted for in last national election, Poland"
"prtvtcpt","Party voted for in last national election, Portugal"
"prtvtdru","Party voted for in last national election, Russian Federation"
"prtvtbse","Party voted for in last national election, Sweden"
"prtvtesi","Party voted for in last national election, Slovenia"
"contplt","Contacted politician or government official last 12 months"
"wrkprty","Worked in political party or action group last 12 months"
"wrkorg","Worked in another organisation or association last 12 months"
"badge","Worn or displayed campaign badge/sticker last 12 months"
"sgnptit","Signed petition last 12 months"
"pbldmn","Taken part in lawful public demonstration last 12 months"
"bctprd","Boycotted certain products last 12 months"
"pstplonl","Posted or shared anything about politics online last 12 months"
"clsprty","Feel closer to a particular party than all other parties"
"prtclcat","Which party feel closer to, Austria"
"prtclcbe","Which party feel closer to, Belgium"
"prtclfch","Which party feel closer to, Switzerland"
"prtcldcz","Which party feel closer to, Czechia"
"prtclede","Which party feel closer to, Germany"
"prtclfee","Which party feel closer to, Estonia"
"prtclees","Which party feel closer to, Spain"
"prtcldfi","Which party feel closer to, Finland"
"prtclefr","Which party feel closer to, France"
"prtclbgb","Which party feel closer to, United Kingdom"
"prtclfhu","Which party feel closer to, Hungary"
"prtcldie","Which party feel closer to, Ireland"
"prtcldil","Which party feel closer to, Israel"
"prtclbis","Which party feel closer to, Iceland"
"prtclcit","Which party feel closer to, Italy"
"prtclblt","Which party feel closer to, Lithuania"
"prtclenl","Which party feel closer to, Netherlands"
"prtclbno","Which party feel closer to, Norway"
"prtclgpl","Which party feel closer to, Poland"
"prtclept","Which party feel closer to, Portugal"
"prtcldru","Which party feel closer to, Russian Federation"
"prtclbse","Which party feel closer to, Sweden"
"prtclesi","Which party feel closer to, Slovenia"
"prtdgcl","How close to party"
"lrscale","Placement on left right scale"
"stflife","How satisfied with life as a whole"
"stfeco","How satisfied with present state of economy in country"
"stfgov","How satisfied with the national government"
"stfdem","How satisfied with the way democracy works in country"
"stfedu","State of education in country nowadays"
"stfhlth","State of health services in country nowadays"
"gincdif","Government should reduce differences in income levels"
"mnrgtjb","Men should have more right to job than women when jobs are scarce"
"freehms","Gays and lesbians free to live life as they wish"
"hmsfmlsh","Ashamed if close family member gay or lesbian"
"hmsacld","Gay and lesbian couples right to adopt children"
"euftf","European Union: European unification go further or gone too far"
"imsmetn","Allow many/few immigrants of same race/ethnic group as majority"
"imdfetn","Allow many/few immigrants of different race/ethnic group from majority"
"impcntr","Allow many/few immigrants from poorer countries outside Europe"
"imbgeco","Immigration bad or good for country's economy"
"imueclt","Country's cultural life undermined or enriched by immigrants"
"imwbcnt","Immigrants make country worse or better place to live"
"happy","How happy are you"
"sclmeet","How often socially meet with friends, relatives or colleagues"
"inprdsc","How many people with whom you can discuss intimate and personal matters"
"sclact","Take part in social activities compared to others of same age"
"crmvct","Respondent or household member victim of burglary/assault last 5 years"
"aesfdrk","Feeling of safety of walking alone in local area after dark"
"health","Subjective general health"
"hlthhmp","Hampered in daily activities by illness/disability/infirmity/mental problem"
"atchctr","How emotionally attached to [country]"
"atcherp","How emotionally attached to Europe"
"rlgblg","Belonging to particular religion or denomination"
"rlgdnm","Religion or denomination belonging to at present"
"rlgdnbat","Religion or denomination belonging to at present, Austria"
"rlgdnbe","Religion or denomination belonging to at present, Belgium"
"rlgdnach","Religion or denomination belonging to at present, Switzerland"
"rlgdnade","Religion or denomination belonging to at present, Germany"
"rlgdnafi","Religion or denomination belonging to at present, Finland"
"rlgdngb","Religion or denomination belonging to at present, United Kingdom"
"rlgdnhu","Religion or denomination belonging to at present, Hungary"
"rlgdnie","Religion or denomination belonging to at present, Ireland"
"rlgdnis","Religion or denomination belonging to at present, Iceland"
"rlgdnlt","Religion or denomination belonging to at present, Lithuania"
"rlgdnnl","Religion or denomination belonging to at present, Netherlands"
"rlgdnno","Religion or denomination belonging to at present, Norway"
"rlgdnapl","Religion or denomination belonging to at present, Poland"
"rlgdnase","Religion or denomination belonging to at present, Sweden"
"rlgblge","Ever belonging to particular religion or denomination"
"rlgdnme","Religion or denomination belonging to in the past"
"rlgdebat","Religion or denomination belonging to in the past, Austria"
"rlgdebe","Religion or denomination belonging to in the past, Belgium"
"rlgdeach","Religion or denomination belonging to in the past, Switzerland"
"rlgdeade","Religion or denomination belonging to in the past, Germany"
"rlgdeafi","Religion or denomination belonging to in the past, Finland"
"rlgdegb","Religion or denomination belonging to in the past, United Kingdom"
"rlgdehu","Religion or denomination belonging to in the past, Hungary"
"rlgdeie","Religion or denomination belonging to in the past, Ireland"
"rlgdeis","Religion or denomination belonging to in the past, Iceland"
"rlgdelt","Religion or denomination belonging to in the past, Lithuania"
"rlgdenl","Religion or denomination belonging to in the past, Netherlands"
"rlgdeno","Religion or denomination belonging to in the past, Norway"
"rlgdeapl","Religion or denomination belonging to in the past, Poland"
"rlgdease","Religion or denomination belonging to in the past, Sweden"
"rlgdgr","How religious are you"
"rlgatnd","How often attend religious services apart from special occasions"
"pray","How often pray apart from at religious services"
"dscrgrp","Member of a group discriminated against in this country"
"dscrrce","Discrimination of respondent's group: colour or race"
"dscrntn","Discrimination of respondent's group: nationality"
"dscrrlg","Discrimination of respondent's group: religion"
"dscrlng","Discrimination of respondent's group: language"
"dscretn","Discrimination of respondent's group: ethnic group"
"dscrage","Discrimination of respondent's group: age"
"dscrgnd","Discrimination of respondent's group: gender"
"dscrsex","Discrimination of respondent's group: sexuality"
"dscrdsb","Discrimination of respondent's group: disability"
"dscroth","Discrimination of respondent's group: other grounds"
"dscrdk","Discrimination of respondent's group: don't know"
"dscrref","Discrimination of respondent's group: refusal"
"dscrnap","Discrimination of respondent's group: not applicable"
"dscrna","Discrimination of respondent's group: no answer"
"ctzcntr","Citizen of country"
"ctzshipc","Citizenship"
"brncntr","Born in country"
"cntbrthc","Country of birth"
"livecnta","What year you first came to live in country"
"lnghom1","Language most often spoken at home: first mentioned"
"lnghom2","Language most often spoken at home: second mentioned"
"blgetmg","Belong to minority ethnic group in country"
"facntr","Father born in country"
"fbrncntb","Country of birth, father"
"mocntr","Mother born in country"
"mbrncntb","Country of birth, mother"
"gvrfgap","Government should be generous judging applications for refugee status"
"rfgfrpc","Most refugee applicants not in real fear of persecution own countries"
"rfgbfml","Granted refugees should be entitled to bring close family members"
"eneffap","How likely to buy most energy efficient home appliance"
"rdcenr","How often do things to reduce energy use"
"cflsenr","How confident you could use less energy than now"
"elgcoal","How much electricity in [country] should be generated from coal"
"elgngas","How much electricity in [country] should be generated from natural gas"
"elghydr","How much electricity in [country] should be generated from hydroelectric power"
"elgnuc","How much electricity in [country] should be generated from nuclear power"
"elgsun","How much electricity in [country] should be generated from solar power"
"elgwind","How much electricity in [country] should be generated from wind power"
"elgbio","How much electricity in [country] should be generated from biomass energy"
"wrpwrct","How worried, power cuts"
"wrenexp","How worried, energy too expensive for many people"
"wrdpimp","How worried, [country] too dependent on energy imports"
"wrdpfos","How worried, [country] too dependent on fossil fuels"
"wrntdis","How worried, energy supply interrupted by natural disasters or extreme weather"
"wrinspw","How worried, energy supply interrupted by insufficient power generated"
"wrtcfl","How worried, energy supply interrupted by technical failures"
"wrtratc","How worried, energy supply interrupted by terrorist attacks"
"clmchng","Do you think world's climate is changing"
"clmthgt1","How much thought about climate change before today"
"clmthgt2","How much thought about climate change before today"
"ccnthum","Climate change caused by natural processes, human activity, or both"
"ccrdprs","To what extent feel personal responsibility to reduce climate change"
"wrclmch","How worried about climate change"
"ccgdbd","Climate change good or bad impact across world"
"lkredcc","Imagine large numbers of people limit energy use, how likely reduce climate change"
"lklmten","How likely, large numbers of people limit energy use"
"gvsrdcc","How likely, governments enough countries take action to reduce climate change"
"ownrdcc","How likely, limiting own energy use reduce climate change"
"inctxff","Favour increase taxes on fossil fuels to reduce climate change"
"sbsrnen","Favour subsidise renewable energy to reduce climate change"
"banhhap","Favour ban sale of least energy efficient household appliances to reduce climate change"
"dfincac","Large differences in income acceptable to reward talents and efforts"
"smdfslv","For fair society, differences in standard of living should be small"
"uemplwk","Of every 100 working age how many unemployed and looking for work"
"slvpens","Standard of living of pensioners"
"slvuemp","Standard of living of unemployed"
"gvslvol","Standard of living for the old, governments' responsibility"
"gvslvue","Standard of living for the unemployed, governments' responsibility"
"gvcldcr","Child care services for working parents, governments' responsibility"
"sbstrec","Social benefits/services place too great strain on economy"
"sbprvpv","Social benefits/services prevent widespread poverty"
"sbeqsoc","Social benefits/services lead to a more equal society"
"sbbsntx","Social benefits/services cost businesses too much in taxes/charges"
"sblazy","Social benefits/services make people lazy"
"sblwcoa","Social benefits/services make people less willing care for one another"
"imsclbn","When should immigrants obtain rights to social benefits/services"
"uentrjb","Most unemployed people do not really try to find a job"
"lbenent","Many with very low incomes get less benefit than legally entitled to"
"bennent","Many manage to obtain benefits/services not entitled to"
"admub","Administration of unemployment benefits questions"
"ubpay","Unemployment benefit if turn down job: less pay"
"ubedu","Unemployment benefit if turn down job: lower level of education"
"ubunp","Unemployment benefit if turn down job: refuse unpaid work"
"ub50pay","Someone in their 50s, unemployment benefit if turn down job: less pay"
"ub50edu","Someone In their 50s, unemployment benefit if turn down job: lower level of education"
"ub50unp","Someone in their 50s, unemployment benefit if turn down job: refuse unpaid work"
"ub20pay","Someone aged 20-25, unemployment benefit if turn down job: less pay"
"ub20edu","Someone aged 20-25, unemployment benefit if turn down job: lower level of education"
"ub20unp","Someone aged 20-25, unemployment benefit if turn down job: refuse unpaid work"
"ubsppay","Single parent to 3-year-old, unemployment benefit if turn down job: less pay"
"ubspedu","Single parent to 3-year-old, unemployment benefit if turn down job: lower level of education"
"ubspunp","Single parent to 3-year-old, unemployment benefit if turn down job: refuse unpaid work"
"bnlwinc","Social benefits only for people with lowest incomes"
"eduunmp","Spend more on education for unemployed at cost of unemployment benefit"
"wrkprbf","Benefits for parents to combine work and family even if means higher taxes"
"basinc","Against or In favour of a basic income scheme"
"eusclbf","Against or In favour of European Union-wide social benefit scheme"
"eudcnbf","More decisions made by EU: level of benefits in [country] become higher or lower"
"lkuemp","How likely unemployed and looking for work next 12 months"
"lknemny","How likely not enough money for household necessities next 12 months"
"vteurmmb","Would vote for [country] to remain member of European Union or leave"
"vteumbgb","Would vote for [country] to remain member of European Union or leave, United Kingdom"
"vteubcmb","Would vote for [country] to become member of European Union or remain outside"
"hhmmb","Number of people living regularly as member of household"
"gndr","Gender"
"gndr2","Gender of second person in household"
"gndr3","Gender of third person in household"
"gndr4","Gender of fourth person in household"
"gndr5","Gender of fifth person in household"
"gndr6","Gender of sixth person in household"
"gndr7","Gender of seventh person in household"
"gndr8","Gender of eighth person in household"
"gndr9","Gender of ninth person in household"
"gndr10","Gender of tenth person in household"
"gndr11","Gender of eleventh person in household"
"gndr12","Gender of twelfth person in household"
"agea","Age of respondent, calculated"
"yrbrn","Year of birth"
"yrbrn2","Year of birth of second person in household"
"yrbrn3","Year of birth of third person in household"
"yrbrn4","Year of birth of fourth person in household"
"yrbrn5","Year of birth of fifth person in household"
"yrbrn6","Year of birth of sixth person in household"
"yrbrn7","Year of birth of seventh person in household"
"yrbrn8","Year of birth of eighth person in household"
"yrbrn9","Year of birth of ninth person in household"
"yrbrn10","Year of birth of tenth person in household"
"yrbrn11","Year of birth of eleventh person in household"
"yrbrn12","Year of birth of twelfth person in household"
"rshipa2","Second person in household: relationship to respondent"
"rshipa3","Third person in household: relationship to respondent"
"rshipa4","Fourth person in household: relationship to respondent"
"rshipa5","Fifth person in household: relationship to respondent"
"rshipa6","Sixth person in household: relationship to respondent"
"rshipa7","Seventh person in household: relationship to respondent"
"rshipa8","Eighth person in household: relationship to respondent"
"rshipa9","Ninth person in household: relationship to respondent"
"rshipa10","Tenth person in household: relationship to respondent"
"rshipa11","Eleventh person in household: relationship to respondent"
"rshipa12","Twelfth person in household: relationship to respondent"
"icpart1","Interviewer code, lives with husband/wife/partner"
"rshpsts","Relationship with husband/wife/partner currently living with"
"rshpsfi","Relationship with husband/wife/partner currently living with, Finland"
"rshpsgb","Relationship with husband/wife/partner currently living with, United Kingdom"
"lvgptnea","Ever lived with a partner, without being married"
"dvrcdeva","Ever been divorced/had civil union dissolved"
"icpart2","Interviewer code, lives with husband/wife/partner"
"iccohbt","Interviewer code, respondent cohabiting"
"marsts","Legal marital status"
"marstfi","Legal marital status, Finland"
"marstgb","Legal marital status, United Kingdom"
"maritalb","Legal marital status, post coded"
"chldhm","Children living at home or not"
"chldhhe","Ever had children living in household"
"domicil","Domicile, respondent's description"
"edulvlb","Highest level of education"
"eisced","Highest level of education, ES - ISCED"
"edlveat","Highest level of education, Austria"
"edlvebe","Highest level of education, Belgium"
"edlvdch","Highest level of education, Switzerland"
"edlvdcz","Highest level of education, Czechia"
"edubde1","Highest level of education, Germany: höchster allgemeinbildender Schulabschluss"
"eduade2","Highest level of education, Germany: höchster Studienabschluss"
"eduade3","Highest level of education, Germany: höchster Ausbildungsabschluss"
"edlvdee","Highest level of education, Estonia"
"edlvges","Highest level of education, Spain"
"edlvdfi","Highest level of education, Finland"
"edlvdfr","Highest level of education, France"
"edubgb1","Highest level of education, United Kingdom: Up to 2 or more A-levels or equivalent"
"eduagb2","Highest level of education, United Kingdom: Up to Ph.D or equivalent"
"edagegb","Age when completed full time education, United Kingdom"
"edlvdhu","Highest level of education, Hungary"
"edlvdie","Highest level of education, Ireland"
"edubil1","Highest level of education, Israeli education, Israel"
"eduail2","Highest level of education, Russian education, Israel"
"edlvdis","Highest level of education, Iceland"
"edlvdit","Highest level of education, Italy"
"edlvdlt","Highest level of education, Lithuania"
"edlvenl","Highest level of education, Netherlands"
"edlvdno","Highest level of education, Norway"
"edlvepl","Highest level of education, Poland"
"edupl2","Tertiary education: lower or higher/single tier, Poland"
"edlvdpt","Highest level of education, Portugal"
"edlvdru","Highest level of education, Russian Federation"
"edlvdse","Highest level of education, Sweden"
"edlvesi","Highest level of education, Slovenia"
"eduyrs","Years of full-time education completed"
"pdwrk","Doing last 7 days: paid work"
"edctn","Doing last 7 days: education"
"uempla","Doing last 7 days: unemployed, actively looking for job"
"uempli","Doing last 7 days: unemployed, not actively looking for job"
"dsbld","Doing last 7 days: permanently sick or disabled"
"rtrd","Doing last 7 days: retired"
"cmsrv","Doing last 7 days: community or military service"
"hswrk","Doing last 7 days: housework, looking after children, others"
"dngoth","Doing last 7 days: other"
"dngref","Doing last 7 days: refusal"
"dngdk","Doing last 7 days: don't know"
"dngna","Doing last 7 days: no answer"
"icomdng","Interviewer code, one/more than one doing last 7 days"
"mainact","Main activity last 7 days"
"mnactic","Main activity, last 7 days. All respondents. Post coded"
"icpdwrk","Interviewer code, respondent in paid work"
"crpdwk","Control paid work last 7 days"
"pdjobev","Ever had a paid job"
"pdjobyr","Year last in paid job"
"emplrel","Employment relation"
"emplno","Number of employees respondent has/had"
"wrkctra","Employment contract unlimited or limited duration"
"estsz","Establishment size"
"jbspv","Responsible for supervising other employees"
"njbspv","Number of people responsible for in job"
"wkdcorga","Allowed to decide how daily work is organised"
"iorgact","Allowed to influence policy decisions about activities of organisation"
"wkhct","Total contracted hours per week in main job overtime excluded"
"icwhct","Have a set 'basic' or contracted number of hours"
"wkhtot","Total hours normally worked per week in main job overtime included"
"nacer2","Industry, NACE rev.2"
"tporgwk","What type of organisation work/worked for"
"isco08","Occupation, ISCO08"
"wrkac6m","Paid work in another country, period more than 6 months last 10 years"
"uemp3m","Ever unemployed and seeking work for a period more than three months"
"uemp12m","Any period of unemployment and work seeking lasted 12 months or more"
"uemp5yr","Any period of unemployment and work seeking within last 5 years"
"mbtru","Member of trade union or similar organisation"
"hincsrca","Main source of household income"
"hinctnta","Household's total net income, all sources"
"hincfel","Feeling about household's income nowadays"
"icpart3","Interviewer code, lives with husband/wife/partner"
"edulvlpb","Partner's highest level of education"
"eiscedp","Partner's highest level of education, ES - ISCED"
"edlvpeat","Partner's highest level of education, Austria"
"edlvpebe","Partner's highest level of education, Belgium"
"edlvpdch","Partner's highest level of education, Switzerland"
"edlvpdcz","Partner's highest level of education, Czechia"
"edupbde1","Partner's highest level of education, Germany: höchster allgemeinbildender Schulabschluss"
"edupade2","Partner's highest level of education, Germany: höchster Studienabschluss"
"edupade3","Partner's highest level of education, Germany: höchster Ausbildungsabschluss"
"edlvpdee","Partner's highest level of education, Estonia"
"edlvpfes","Partner's highest level of education, Spain"
"edlvpdfi","Partner's highest level of education, Finland"
"edlvpdfr","Partner's highest level of education, France"
"edupbgb1","Partner's highest level of education, United Kingdom: Up to 2 or more A-levels or equivalent"
"edupagb2","Partner's highest level of education, United Kingdom: Up to Ph.D or equivalent"
"edagepgb","Partner's age when completed full time education, United Kingdom"
"edlvpdhu","Partner's highest level of education, Hungary"
"edlvpdie","Partner's highest level of education, Ireland"
"edupbil1","Partner's highest level of education, Israeli education, Israel"
"edupail2","Partner's highest level of education, Russian education, Israel"
"edlvpdis","Partner's highest level of education, Iceland"
"edlvpdit","Partner's highest level of education, Italy"
"edlvpdlt","Partner's highest level of education, Lithuania"
"edlvpenl","Partner's highest level of education, Netherlands"
"edlvpdno","Partner's highest level of education, Norway"
"edlvpepl","Partner's highest level of education, Poland"
"eduppl2","Partner's tertiary education: lower or higher/single tier, Poland"
"edlvpdpt","Partner's highest level of education, Portugal"
"edlvpdru","Partner's highest level of education, Russian Federation"
"edlvpdse","Partner's highest level of education, Sweden"
"edlvpesi","Partner's highest level of education, Slovenia"
"pdwrkp","Partner doing last 7 days: paid work"
"edctnp","Partner doing last 7 days: education"
"uemplap","Partner doing last 7 days: unemployed, actively looking for job"
"uemplip","Partner doing last 7 days: unemployed, not actively looking for job"
"dsbldp","Partner doing last 7 days: permanently sick or disabled"
"rtrdp","Partner doing last 7 days: retired"
"cmsrvp","Partner doing last 7 days: community or military service"
"hswrkp","Partner doing last 7 days: housework, looking after children, others"
"dngothp","Partner doing last 7 days: other"
"dngdkp","Partner doing last 7 days: don't know"
"dngnapp","Partner doing last 7 days: not applicable"
"dngrefp","Partner doing last 7 days: refusal"
"dngnap","Partner doing last 7 days: no answer"
"icomdnp","Interviewer code, one/more than one doing partner last 7 days"
"mnactp","Partner's main activity last 7 days"
"icppdwk","Interviewer code, Respondents partner in paid work"
"crpdwkp","Partner, control paid work last 7 days"
"isco08p","Occupation partner, ISCO08"
"emprelp","Partner's employment relation"
"wkhtotp","Hours normally worked a week in main job overtime included, partner"
"edulvlfb","Father's highest level of education"
"eiscedf","Father's highest level of education, ES - ISCED"
"edlvfeat","Father's highest level of education, Austria"
"edlvfebe","Father's highest level of education, Belgium"
"edlvfdch","Father's highest level of education, Switzerland"
"edlvfdcz","Father's highest level of education, Czechia"
"edufbde1","Father's highest level of education, Germany: höchster allgemeinbildender Schulabschluss"
"edufade2","Father's highest level of education, Germany: höchster Studienabschluss"
"edufade3","Father's highest level of education, Germany: höchster Ausbildungsabschluss"
"edlvfdee","Father's highest level of education, Estonia"
"edlvffes","Father's highest level of education, Spain"
"edlvfdfi","Father's highest level of education, Finland"
"edlvfdfr","Father's highest level of education, France"
"edufbgb1","Father's highest level of education, United Kingdom: Up to 2 or more A-levels or equivalent"
"edufagb2","Father's highest level of education, United Kingdom: Up to Ph.D or equivalent"
"edagefgb","Father's age when completed full time education, United Kingdom"
"edlvfdhu","Father's highest level of education, Hungary"
"edlvfdie","Father's highest level of education, Ireland"
"edufbil1","Father's highest level of education, Israeli education, Israel"
"edufail2","Father's highest level of education, Russian education, Israel"
"edlvfdis","Father's highest level of education, Iceland"
"edlvfdit","Father's highest level of education, Italy"
"edlvfdlt","Father's highest level of education, Lithuania"
"edlvfenl","Father's highest level of education, Netherlands"
"edlvfdno","Father's highest level of education, Norway"
"edlvfepl","Father's highest level of education, Poland"
"edlvfdpt","Father's highest level of education, Portugal"
"edlvfdru","Father's highest level of education, Russian Federation"
"edlvfdse","Father's highest level of education, Sweden"
"edlvfesi","Father's highest level of education, Slovenia"
"emprf14","Father's employment status when respondent 14"
"occf14b","Father's occupation when respondent 14"
"edulvlmb","Mother's highest level of education"
"eiscedm","Mother's highest level of education, ES - ISCED"
"edlvmeat","Mother's highest level of education, Austria"
"edlvmebe","Mother's highest level of education, Belgium"
"edlvmdch","Mother's highest level of education, Switzerland"
"edlvmdcz","Mother's highest level of education, Czechia"
"edumbde1","Mother's highest level of education, Germany: höchster allgemeinbildender Schulabschluss"
"edumade2","Mother's highest level of education, Germany: höchster Studienabschluss"
"edumade3","Mother's highest level of education, Germany: höchster Ausbildungsabschluss"
"edlvmdee","Mother's highest level of education, Estonia"
"edlvmfes","Mother's highest level of education, Spain"
"edlvmdfi","Mother's highest level of education, Finland"
"edlvmdfr","Mother's highest level of education, France"
"edumbgb1","Mother's highest level of education, United Kingdom: Up to 2 or more A-levels or equivalent"
"edumagb2","Mother's highest level of education, United Kingdom: Up to Ph.D or equivalent"
"edagemgb","Mother's age when completed full time education, United Kingdom"
"edlvmdhu","Mother's highest level of education, Hungary"
"edlvmdie","Mother's highest level of education, Ireland"
"edumbil1","Mother's highest level of education, Israeli education, Israel"
"edumail2","Mother's highest level of education, Russian education, Israel"
"edlvmdis","Mother's highest level of education, Iceland"
"edlvmdit","Mother's highest level of education, Italy"
"edlvmdlt","Mother's highest level of education, Lithuania"
"edlvmenl","Mother's highest level of education, Netherlands"
"edlvmdno","Mother's highest level of education, Norway"
"edlvmepl","Mother's highest level of education, Poland"
"edlvmdpt","Mother's highest level of education, Portugal"
"edlvmdru","Mother's highest level of education, Russian Federation"
"edlvmdse","Mother's highest level of education, Sweden"
"edlvmesi","Mother's highest level of education, Slovenia"
"emprm14","Mother's employment status when respondent 14"
"occm14b","Mother's occupation when respondent 14"
"atncrse","Improve knowledge/skills: course/lecture/conference, last 12 months"
"anctry1","First ancestry, European Standard Classification of Cultural and Ethnic Groups"
"anctry2","Second ancestry, European Standard Classification of Cultural and Ethnic Groups"
"ipcrtiv","Important to think new ideas and being creative"
"imprich","Important to be rich, have money and expensive things"
"ipeqopt","Important that people are treated equally and have equal opportunities"
"ipshabt","Important to show abilities and be admired"
"impsafe","Important to live in secure and safe surroundings"
"impdiff","Important to try new and different things in life"
"ipfrule","Important to do what is told and follow rules"
"ipudrst","Important to understand different people"
"ipmodst","Important to be humble and modest, not draw attention"
"ipgdtim","Important to have a good time"
"impfree","Important to make own decisions and be free"
"iphlppl","Important to help people and care for others well-being"
"ipsuces","Important to be successful and that people recognize achievements"
"ipstrgv","Important that government is strong and ensures safety"
"ipadvnt","Important to seek adventures and have an exciting life"
"ipbhprp","Important to behave properly"
"iprspot","Important to get respect from others"
"iplylfr","Important to be loyal to friends and devote to people close"
"impenv","Important to care for nature and environment"
"imptrad","Important to follow traditions and customs"
"impfun","Important to seek fun and things that give pleasure"
"region","Region"
"regunit","Regional unit"
"intewde","Place of interview: East, West Germany"
"inwdds","Start of interview, day of month"
"inwmms","Start of interview, month"
"inwyys","Start of interview, year"
"inwshh","Start of interview, hour"
"inwsmm","Start of interview, minute"
"inwdde","End of interview, day of month"
"inwmme","End of interview, month"
"inwyye","End of interview, year"
"inwehh","End of interview, hour"
"inwemm","End of interview, minute"
"inwtm","Interview length in minutes, main questionnaire"
"dweight","Design weight"
"pspwght","Post-stratification weight including design weight"
"pweight","Population size weight (must be combined with dweight or pspwght)"
